cycle,gender,race_ethnicity,prevalence_pct,n_unweighted,n_cases,weighted_pop,outcome,midyear
2017-2018,Female,Non-Hispanic Black,2.3948331576126325,682.0,20.0,1361495.7383206482,Heart Attack (MI),2017.5
2017-2018,Female,Non-Hispanic White,2.46610833274004,961.0,35.0,7012798.680450531,Heart Attack (MI),2017.5
2017-2018,Female,Other Hispanic,2.3733075350524073,283.0,8.0,813341.9810484387,Heart Attack (MI),2017.5
2017-2018,Female,Other/Multiracial,2.88666845576265,121.0,5.0,439799.26366869995,Heart Attack (MI),2017.5
2017-2018,Male,Mexican American,1.8477635318562298,352.0,13.0,987793.644513835,Heart Attack (MI),2017.5
2017-2018,Male,Non-Hispanic Asian,3.087049376272689,375.0,14.0,582473.3791275675,Heart Attack (MI),2017.5
2017-2018,Male,Non-Hispanic Black,3.5072154232584145,616.0,31.0,1123278.20806867,Heart Attack (MI),2017.5
2017-2018,Male,Non-Hispanic White,6.008848493294617,971.0,106.0,6485529.67529846,Heart Attack (MI),2017.5
2017-2018,Male,Other Hispanic,3.7042650273084883,234.0,12.0,702353.7123441428,Heart Attack (MI),2017.5
2017-2018,Male,Other/Multiracial,8.830842628236867,149.0,15.0,554768.9381928598,Heart Attack (MI),2017.5
2021-2022,Female,Mexican American,1.1792644731119646,281.0,3.0,753383.804129,Heart Attack (MI),2021.5
2021-2022,Female,Non-Hispanic Asian,1.646129768422421,238.0,7.0,734438.8624545455,Heart Attack (MI),2021.5
2021-2022,Female,Non-Hispanic Black,2.4163593329943525,568.0,15.0,1366210.0407287274,Heart Attack (MI),2021.5
2021-2022,Female,Non-Hispanic White,2.300033773701725,2524.0,72.0,6830407.095958455,Heart Attack (MI),2021.5
2021-2022,Female,Other Hispanic,1.7043223696760998,436.0,14.0,1116589.3474013635,Heart Attack (MI),2021.5
2021-2022,Female,Other/Multiracial,1.4296921526278568,269.0,7.0,669571.8444984545,Heart Attack (MI),2021.5
2021-2022,Male,Mexican American,0.581426699446558,263.0,4.0,833722.0043817272,Heart Attack (MI),2021.5
2021-2022,Male,Non-Hispanic Asian,1.4899950670564601,184.0,6.0,625225.4636315454,Heart Attack (MI),2021.5
2021-2022,Male,Non-Hispanic Black,4.012854427976606,426.0,21.0,1089557.6098218183,Heart Attack (MI),2021.5
2021-2022,Male,Non-Hispanic White,5.647707563576508,2023.0,147.0,6538079.454654818,Heart Attack (MI),2021.5
2021-2022,Male,Other Hispanic,3.916846224663041,341.0,20.0,1013389.3762531818,Heart Attack (MI),2021.5
2021-2022,Male,Other/Multiracial,5.142152540574239,241.0,16.0,686305.5779407272,Heart Attack (MI),2021.5
1999-2000,Female,Mexican American,1.3027509087868092,687.0,19.0,542513.9280568819,Coronary Heart Disease,1999.5
1999-2000,Female,Non-Hispanic Black,0.9062971145141895,494.0,8.0,1038230.34152991,Coronary Heart Disease,1999.5
